,id,match,date,home_red,home_yellow,home_team,home_goal,away_goal,away_team,away_yellow,away_red,home_goal_half,away_goal_half,main_bet,goals_bet,footGoal_bet,footGoal_home_half,footGoal_home,footGoal_away_half,footGoal_away,flag,f_home_goal_all_h_3,f_away_goal_all_h_3,f_home_yellow_all_h_3,f_home_red_all_h_3,f_away_yellow_all_h_3,f_away_red_all_h_3,f_flag_all_h_3,f_net_goal_all_h_3,f_net_yellow_all_h_3,f_date_all_h_3,f_diff_time_all_h_3
82,83,英超,18/08/12,0,0,伍尔弗汉普顿,2,2,埃弗顿,1,1,1,1,-0.25,2.25,9.5,1,3,4,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
68,69,英超,18/08/25,0,1,伍尔弗汉普顿,1,1,曼城,2,0,0,0,1.5,3.0,10.5,2,5,2,9,1,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.9997000899730081,0,4.333333333333333
41,42,英超,18/09/16,0,2,伍尔弗汉普顿,1,0,伯恩利,4,0,0,0,-0.75,2.25,10.5,5,8,0,2,1,1.0,1.0,0.3333333333333333,0.0,1.0,0.3333333333333333,0.6666666666666666,0.0,-0.49996250281228916,0,19.0
24,25,英超,18/09/29,0,3,伍尔弗汉普顿,2,0,南安普顿,1,0,0,0,-0.5,2.25,10.5,2,8,3,6,1,1.3333333333333333,1.0,1.0,0.0,2.3333333333333335,0.3333333333333333,1.0,0.14285102067054267,-0.3999880003599892,18/08/12,32.0
6,7,英超,18/10/20,0,3,伍尔弗汉普顿,0,2,沃特福德,1,0,0,2,-0.75,2.5,10.5,3,8,1,2,1,1.3333333333333333,0.3333333333333333,2.0,0.0,2.3333333333333335,0.0,1.0,0.5999640021598704,-0.07692130181611197,18/08/25,37.0
1585,1586,英超,14/08/19,0,1,伯恩利,1,3,切尔西,1,0,1,3,1.25,2.5,11.0,2,4,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1574,1575,英超,14/08/30,0,2,伯恩利,0,0,曼联,2,0,0,0,1.0,2.5,11.0,2,3,1,6,1,0.3333333333333333,1.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,-0.49996250281228916,0.0,0,3.6666666666666665
1553,1554,英超,14/09/20,0,1,伯恩利,0,0,桑德兰,2,0,0,0,-0.25,2.25,10.5,1,5,0,1,1,0.3333333333333333,1.0,1.0,0.0,1.0,0.0,0.6666666666666666,-0.49996250281228916,0.0,0,17.666666666666668
1520,1521,英超,14/10/18,0,0,伯恩利,1,3,西汉姆,1,0,0,0,0.0,2.5,11.5,1,3,1,6,1,0.3333333333333333,1.0,1.3333333333333333,0.0,1.6666666666666667,0.0,1.0,-0.49996250281228916,-0.11110740753086013,14/08/19,45.666666666666664
1512,1513,英超,14/10/26,0,4,伯恩利,1,3,埃弗顿,2,0,1,2,0.5,2.5,11.0,4,5,0,4,1,0.3333333333333333,1.0,1.0,0.0,1.6666666666666667,0.0,1.0,-0.49996250281228916,-0.24999062535154928,14/08/30,33.666666666666664
1496,1497,英超,14/11/08,0,6,伯恩利,1,0,赫尔,4,0,0,0,0.0,2.25,10.5,5,7,1,1,1,0.6666666666666666,2.0,1.6666666666666667,0.0,1.6666666666666667,0.0,1.0,-0.4999812507030987,0.0,14/09/20,27.666666666666668
1475,1476,英超,14/11/29,0,3,伯恩利,1,1,阿斯顿维拉,3,0,0,1,-0.25,2.25,10.0,0,1,5,5,1,1.0,2.0,3.3333333333333335,0.0,2.3333333333333335,0.0,1.0,-0.3333222225925802,0.17646747410339816,14/10/18,32.333333333333336
1466,1467,英超,14/12/03,0,2,伯恩利,1,1,纽卡斯尔,2,0,1,0,0.0,2.25,10.5,1,2,2,5,1,1.0,1.3333333333333333,4.333333333333333,0.0,3.0,0.0,1.0,-0.14285102067054267,0.18181570251314752,14/10/26,22.333333333333332
1447,1448,英超,14/12/13,0,1,伯恩利,1,0,南安普顿,3,0,0,0,0.75,2.25,10.5,1,2,1,4,1,1.0,0.6666666666666666,3.6666666666666665,0.0,3.0,0.0,1.0,0.19998800071995684,0.09999850002249966,14/11/08,19.666666666666668
1421,1422,英超,14/12/26,0,0,伯恩利,0,1,利物浦,1,0,0,0,0.75,2.75,10.0,2,7,1,2,1,1.0,0.6666666666666666,2.0,0.0,2.6666666666666665,0.0,1.0,0.19998800071995684,-0.1428540816982493,14/11/29,21.0
1392,1393,英超,15/01/10,0,2,伯恩利,2,1,女王公园巡游者,2,0,2,1,-0.5,2.25,10.5,3,10,3,5,1,0.6666666666666666,0.6666666666666666,1.0,0.0,2.0,0.0,1.0,0.0,-0.3333222225925802,14/12/03,27.0
1384,1385,英超,15/01/17,0,1,伯恩利,2,3,水晶宫,3,0,2,1,-0.25,2.25,11.0,3,5,4,7,1,1.0,0.6666666666666666,1.0,0.0,2.0,0.0,1.0,0.19998800071995684,-0.3333222225925802,14/12/13,21.333333333333332
1361,1362,英超,15/02/08,0,0,伯恩利,2,2,西布朗维奇,4,0,2,1,-0.25,2.0,10.0,0,5,2,6,1,1.3333333333333333,1.6666666666666667,1.0,0.0,2.0,0.0,1.0,-0.11110740753086013,-0.3333222225925802,14/12/26,31.666666666666668
1336,1337,英超,15/02/28,0,0,伯恩利,0,1,斯旺西,0,0,0,1,-0.25,2.25,10.0,6,6,4,4,1,2.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,-0.49998750031249223,15/01/10,37.0
1296,1297,英超,15/04/05,0,2,伯恩利,0,0,托特纳姆热刺,0,0,0,0,0.25,2.5,10.5,1,5,2,3,1,1.3333333333333333,2.0,0.3333333333333333,0.0,2.3333333333333335,0.0,1.0,-0.19999400017999464,-0.7499718760546478,15/01/17,56.666666666666664
1286,1287,英超,15/04/12,0,2,伯恩利,0,1,阿森纳,0,0,0,1,1.0,2.5,10.5,0,1,1,6,1,0.6666666666666666,1.0,0.6666666666666666,0.0,1.3333333333333333,0.0,1.0,-0.19998800071995684,-0.3333166674999583,15/02/08,37.666666666666664
1269,1270,英超,15/04/25,0,4,伯恩利,0,1,莱斯特,0,0,0,0,0.0,2.5,10.5,1,6,3,4,1,0.0,0.6666666666666666,1.3333333333333333,0.0,0.0,0.0,1.0,-0.9998500224966255,0.9999250056245782,15/02/28,29.666666666666668
1243,1244,英超,15/05/16,0,1,伯恩利,0,0,斯托克城,2,0,0,0,0.0,2.25,10.5,3,7,2,6,1,0.0,0.6666666666666666,2.6666666666666665,0.0,0.0,0.0,1.0,-0.9998500224966255,0.9999625014061971,15/04/05,32.0
845,846,英超,16/08/13,0,3,伯恩利,0,1,斯旺西,2,0,0,0,0.0,2.0,10.0,3,7,3,4,1,0.0,0.6666666666666666,2.3333333333333335,0.0,0.6666666666666666,0.0,1.0,-0.9998500224966255,0.5555370376543005,15/04/12,473.3333333333333
833,834,英超,16/08/20,0,0,伯恩利,2,0,利物浦,1,0,2,0,1.0,2.5,10.5,0,1,5,12,1,0.0,0.6666666666666666,2.6666666666666665,0.0,1.3333333333333333,0.0,1.0,-0.9998500224966255,0.3333250002083281,15/04/25,317.3333333333333
816,817,英超,16/09/10,0,2,伯恩利,1,1,赫尔,0,0,0,0,-0.25,2.0,10.5,3,5,4,9,1,0.6666666666666666,0.3333333333333333,1.3333333333333333,0.0,1.6666666666666667,0.0,1.0,0.33330000333300003,-0.11110740753086013,15/05/16,177.33333333333334
789,790,英超,16/09/27,0,1,伯恩利,2,0,沃特福德,3,0,1,0,0.25,2.0,10.5,5,7,1,6,1,1.0,0.6666666666666666,1.6666666666666667,0.0,1.0,0.0,1.0,0.19998800071995684,0.24999062535154928,16/08/13,33.333333333333336
779,780,英超,16/10/02,0,0,伯恩利,0,1,阿森纳,0,0,0,0,1.5,2.75,10.5,0,2,2,6,1,1.6666666666666667,0.3333333333333333,1.0,0.0,1.3333333333333333,0.0,1.0,0.6666333349999167,-0.14285102067054267,16/08/20,23.333333333333332
765,766,英超,16/10/22,0,2,伯恩利,2,1,埃弗顿,2,0,1,0,0.75,2.25,10.5,1,2,3,8,1,1.0,0.6666666666666666,1.0,0.0,1.0,0.0,1.0,0.19998800071995684,0.0,16/09/10,29.0
747,748,英超,16/11/05,0,1,伯恩利,3,2,水晶宫,2,0,2,0,0.25,2.25,11.0,2,4,4,7,1,1.3333333333333333,0.6666666666666666,1.0,0.0,1.6666666666666667,0.0,1.0,0.3333166674999583,-0.24999062535154928,16/09/27,29.0
728,729,英超,16/11/26,0,2,伯恩利,1,2,曼城,3,0,1,1,2.0,3.25,10.5,3,5,5,8,1,1.6666666666666667,1.3333333333333333,1.0,0.0,1.3333333333333333,0.0,1.0,0.11110740753086013,-0.14285102067054267,16/10/02,37.0
704,705,英超,16/12/10,0,2,伯恩利,3,2,伯恩茅斯,2,0,2,1,0.25,2.25,10.5,3,4,6,11,1,2.0,1.6666666666666667,1.6666666666666667,0.0,2.3333333333333335,0.0,1.0,0.09090661163786438,-0.16666250010416409,16/10/22,32.666666666666664
673,674,英超,16/12/26,0,6,伯恩利,1,0,米德尔斯堡,5,0,0,0,0.0,2.0,9.5,2,7,0,3,1,2.3333333333333335,2.0,1.6666666666666667,0.0,2.3333333333333335,0.0,1.0,0.07692130181611197,-0.16666250010416409,16/11/05,32.333333333333336
664,665,英超,16/12/31,0,1,伯恩利,4,1,桑德兰,1,0,1,0,-0.25,2.5,10.5,0,6,0,2,1,1.6666666666666667,1.3333333333333333,3.3333333333333335,0.0,3.3333333333333335,0.0,1.0,0.11110740753086013,0.0,16/11/26,20.333333333333332
647,648,英超,17/01/14,0,1,伯恩利,1,0,南安普顿,2,0,0,0,0.5,2.25,11.0,2,2,3,7,1,2.6666666666666665,1.0,3.0,0.0,2.6666666666666665,0.0,1.0,0.45453305818932205,0.05882249136779943,16/12/10,22.666666666666668
626,627,英超,17/02/01,0,1,伯恩利,1,0,莱斯特,0,0,0,0,0.0,2.25,10.5,3,10,0,2,1,2.0,0.3333333333333333,2.6666666666666665,0.0,2.6666666666666665,0.0,1.0,0.7142551033527134,0.0,16/12/26,29.0
601,602,英超,17/02/12,0,3,伯恩利,1,1,切尔西,2,0,1,1,1.0,2.25,10.5,0,1,1,1,1,2.0,0.3333333333333333,1.0,0.0,1.0,0.0,1.0,0.7142551033527134,0.0,16/12/31,27.666666666666668
561,562,英超,17/04/01,0,2,伯恩利,0,2,托特纳姆热刺,0,0,0,0,0.75,2.25,10.5,2,3,4,7,1,1.0,0.3333333333333333,1.6666666666666667,0.0,1.3333333333333333,0.0,1.0,0.49996250281228916,0.11110740753086013,17/01/14,61.333333333333336
553,554,英超,17/04/05,0,3,伯恩利,1,0,斯托克城,2,0,0,0,-0.25,2.0,10.5,1,3,2,5,1,0.6666666666666666,1.0,2.0,0.0,0.6666666666666666,0.0,1.0,-0.19998800071995684,0.4999812507030987,17/02/01,39.666666666666664
521,522,英超,17/04/23,0,2,伯恩利,0,2,曼联,1,0,0,2,0.75,2.0,9.5,2,3,2,3,1,0.6666666666666666,1.0,2.6666666666666665,0.0,1.3333333333333333,0.0,1.0,-0.19998800071995684,0.3333250002083281,17/02/12,36.666666666666664
499,500,英超,17/05/06,0,1,伯恩利,2,2,西布朗维奇,3,0,0,0,-0.25,2.0,10.0,1,5,3,8,1,0.3333333333333333,1.3333333333333333,2.3333333333333335,0.0,1.0,0.0,1.0,-0.5999640021598704,0.3999880003599892,17/04/01,26.333333333333332
469,470,英超,17/05/21,0,2,伯恩利,1,2,西汉姆,2,0,1,1,-0.25,2.75,10.5,2,2,0,5,1,1.0,1.3333333333333333,2.0,0.0,2.0,0.0,1.0,-0.14285102067054267,0.0,17/04/05,29.666666666666668
453,454,英超,17/08/19,0,1,伯恩利,0,1,西布朗维奇,0,1,0,0,0.0,2.0,9.5,3,5,4,5,1,1.0,2.0,1.6666666666666667,0.0,2.0,0.0,1.0,-0.3333222225925802,-0.09090661163786438,17/04/23,104.33333333333333
431,432,英超,17/09/10,0,1,伯恩利,1,0,水晶宫,1,0,1,0,-0.25,2.25,10.5,2,3,7,13,1,1.0,1.6666666666666667,1.3333333333333333,0.0,1.6666666666666667,0.3333333333333333,1.0,-0.24999062535154928,-0.11110740753086013,17/05/06,87.0
417,418,英超,17/09/23,0,3,伯恩利,0,0,哈德斯菲尔德,2,0,0,0,-0.25,2.0,10.0,3,3,2,4,1,0.6666666666666666,1.0,1.3333333333333333,0.0,1.0,0.3333333333333333,1.0,-0.19998800071995684,0.14285102067054267,17/05/21,57.666666666666664
394,395,英超,17/10/14,0,2,伯恩利,1,1,西汉姆,3,1,0,1,0.0,2.25,10.0,3,7,2,4,1,0.3333333333333333,0.3333333333333333,1.6666666666666667,0.0,1.0,0.3333333333333333,1.0,0.0,0.24999062535154928,17/08/19,37.0
369,370,英超,17/10/31,0,3,伯恩利,1,0,纽卡斯尔,0,0,0,0,0.25,2.0,10.5,4,5,1,3,1,0.6666666666666666,0.3333333333333333,2.0,0.0,2.0,0.3333333333333333,1.0,0.33330000333300003,0.0,17/09/10,35.333333333333336
352,353,英超,17/11/18,0,1,伯恩利,2,0,斯旺西,1,0,2,0,-0.25,2.0,10.0,4,8,3,6,1,0.6666666666666666,0.3333333333333333,2.6666666666666665,0.0,1.6666666666666667,0.3333333333333333,1.0,0.33330000333300003,0.23076390544833578,17/09/23,36.333333333333336
340,341,英超,17/11/26,0,2,伯恩利,0,1,阿森纳,0,0,0,0,1.0,2.5,10.0,5,5,3,5,1,1.3333333333333333,0.3333333333333333,2.0,0.0,1.3333333333333333,0.3333333333333333,1.0,0.5999640021598704,0.19999400017999464,17/10/14,25.666666666666668
315,316,英超,17/12/09,0,1,伯恩利,1,0,沃特福德,0,1,1,0,0.0,2.25,10.5,1,3,3,5,1,1.0,0.3333333333333333,2.0,0.0,0.3333333333333333,0.0,1.0,0.49996250281228916,0.7142551033527134,17/10/31,24.333333333333332
308,309,英超,17/12/13,0,0,伯恩利,1,0,斯托克城,0,0,0,0,-0.25,2.25,10.5,4,6,3,4,1,1.0,0.3333333333333333,1.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.0,0.49996250281228916,0.5999640021598704,17/11/18,15.333333333333334
280,281,英超,17/12/24,0,1,伯恩利,0,3,托特纳姆热刺,2,0,0,1,1.0,2.5,10.5,3,4,2,4,1,0.6666666666666666,0.3333333333333333,1.0,0.0,0.0,0.3333333333333333,1.0,0.33330000333300003,0.9999000099990001,17/11/26,18.0
256,257,英超,18/01/01,0,0,伯恩利,1,2,利物浦,0,0,0,0,0.75,2.25,10.0,1,3,1,9,1,0.6666666666666666,1.0,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,1.0,-0.19998800071995684,0.0,17/12/09,16.666666666666668
232,233,英超,18/01/20,0,3,伯恩利,0,1,曼联,3,0,0,0,1.0,2.25,10.0,1,5,2,4,1,0.6666666666666666,1.6666666666666667,0.3333333333333333,0.0,0.6666666666666666,0.0,1.0,-0.428553062011628,-0.33330000333300003,17/12/13,28.0
218,219,英超,18/02/03,0,4,伯恩利,1,1,曼城,1,0,0,1,1.5,2.75,10.5,2,3,4,13,1,0.3333333333333333,2.0,1.3333333333333333,0.0,1.6666666666666667,0.0,1.0,-0.7142551033527134,-0.11110740753086013,17/12/24,29.333333333333332
195,196,英超,18/02/24,0,1,伯恩利,1,1,南安普顿,0,0,0,0,0.25,2.0,10.0,3,7,1,5,1,0.6666666666666666,1.3333333333333333,2.3333333333333335,0.0,1.3333333333333333,0.0,1.0,-0.3333166674999583,0.2727198349135933,18/01/01,36.666666666666664
188,189,英超,18/03/03,0,1,伯恩利,2,1,埃弗顿,1,1,0,1,-0.25,1.75,10.0,3,10,1,4,1,0.6666666666666666,1.0,2.6666666666666665,0.0,1.3333333333333333,0.0,1.0,-0.19998800071995684,0.3333250002083281,18/01/20,25.666666666666668
