,away_goal_a_1,away_goal_half_a_1,away_red_a_1,away_team_a_1,away_yellow_a_1,date_a_1,flag_a_1,footGoal_away_a_1,footGoal_away_half_a_1,footGoal_bet_a_1,footGoal_home_a_1,footGoal_home_half_a_1,goals_bet_a_1,home_goal_a_1,home_goal_half_a_1,home_red_a_1,home_team_a_1,home_yellow_a_1,id_a_1,main_bet_a_1,match_a_1,l_home_goal,l_away_goal,l_home_yellow,l_home_red,l_away_yellow,l_away_red,l_flag,l_net_goal,l_net_yellow,l_date,l_diff_time
41,0,0,0,伯恩利,4,18/09/16,1,2,0,10.5,8,5,2.25,1,0,0,伍尔弗汉普顿,2,42,-0.75,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
24,0,0,0,南安普顿,1,18/09/29,1,6,3,10.5,8,2,2.25,2,0,0,伍尔弗汉普顿,3,25,-0.5,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
82,2,1,1,埃弗顿,1,18/08/12,1,6,4,9.5,3,1,2.25,2,1,0,伍尔弗汉普顿,0,83,-0.25,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
68,1,0,0,曼城,2,18/08/25,1,9,2,10.5,5,2,3.0,1,0,0,伍尔弗汉普顿,1,69,1.5,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
37,1,1,0,曼联,1,18/09/22,0,5,1,10.0,4,3,2.5,1,0,0,伍尔弗汉普顿,1,38,-1.0,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
13,0,0,0,水晶宫,3,18/10/06,0,6,4,10.5,3,2,2.25,1,0,0,伍尔弗汉普顿,4,14,0.0,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
6,2,2,0,沃特福德,1,18/10/20,1,2,1,10.5,8,3,2.5,0,0,0,伍尔弗汉普顿,3,7,-0.75,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
75,2,2,1,莱斯特,2,18/08/18,0,1,1,10.0,9,4,2.25,0,0,0,伍尔弗汉普顿,1,76,-0.25,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
55,0,0,0,西汉姆,2,18/09/01,0,4,2,10.0,4,1,2.25,1,0,0,伍尔弗汉普顿,1,56,0.0,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
41,1,0,0,伍尔弗汉普顿,2,18/09/16,0,8,5,10.5,2,0,2.25,0,0,0,伯恩利,4,42,-0.75,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
704,2,1,0,伯恩茅斯,2,16/12/10,1,11,6,10.5,4,3,2.25,3,2,0,伯恩利,2,705,0.25,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
490,2,1,0,伯恩茅斯,0,17/05/13,0,7,2,10.5,1,0,2.75,1,0,0,伯恩利,1,491,-0.75,英超,1.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,0.3333333333333333,0.19998800071995684,0.0,0,51.333333333333336
333,1,0,0,伯恩茅斯,0,17/11/30,0,4,2,10.5,6,6,2.25,2,1,0,伯恩利,1,334,-0.25,英超,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,-0.33330000333300003,0.9997000899730081,0,185.33333333333334
89,2,0,0,伯恩茅斯,0,18/05/13,1,8,2,10.5,7,4,2.75,1,1,0,伯恩利,0,90,-0.25,英超,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.33330000333300003,0.9997000899730081,16/12/10,349.3333333333333
35,0,0,0,伯恩茅斯,0,18/09/22,1,8,2,10.5,3,3,2.5,4,2,0,伯恩利,2,36,0.25,英超,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,-0.33330000333300003,0.0,17/05/13,308.3333333333333
1585,3,3,0,切尔西,1,14/08/19,1,3,3,11.0,4,2,2.5,1,1,0,伯恩利,1,1586,1.25,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1347,1,1,1,切尔西,1,15/02/21,0,7,5,11.0,7,3,3.0,1,0,0,伯恩利,2,1348,-2.0,英超,0.3333333333333333,1.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,-0.49996250281228916,0.0,0,62.0
823,3,2,0,切尔西,2,16/08/27,0,9,5,11.0,5,0,3.0,0,0,0,伯恩利,2,824,-1.75,英超,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.33330000333300003,0,430.6666666666667
601,1,1,0,切尔西,2,17/02/12,1,1,1,10.5,1,0,2.25,1,1,0,伯恩利,3,602,1.0,英超,0.0,1.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,-0.9999000099990001,0.0,14/08/19,599.6666666666666
466,2,0,2,切尔西,4,17/08/12,0,8,1,11.0,5,2,2.75,3,3,0,伯恩利,3,467,-1.25,英超,0.3333333333333333,0.3333333333333333,1.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.19998800071995684,15/02/21,478.0
131,2,1,0,切尔西,0,18/04/20,1,2,1,10.5,3,0,2.25,1,0,0,伯恩利,1,132,0.5,英超,1.0,0.6666666666666666,1.0,0.0,1.3333333333333333,0.6666666666666666,0.0,0.19998800071995684,-0.14285102067054267,16/08/27,428.0
1421,1,0,0,利物浦,1,14/12/26,1,2,1,10.0,7,2,2.75,0,0,0,伯恩利,0,1422,0.75,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1322,2,1,0,利物浦,0,15/03/05,0,6,4,11.0,5,2,2.75,0,0,0,伯恩利,1,1323,-1.5,英超,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,-0.9997000899730081,-0.9997000899730081,0,23.0
833,0,0,0,利物浦,1,16/08/20,1,12,5,10.5,1,0,2.5,2,2,0,伯恩利,0,834,1.0,英超,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,-0.9998500224966255,0.9997000899730081,0,379.0
576,2,1,0,利物浦,2,17/03/13,0,11,7,11.5,1,1,2.75,1,1,0,伯恩利,2,577,-1.75,英超,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.9998500224966255,-0.9997000899730081,14/12/26,584.0
